City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,Rio Gallegos,-51.6226,-69.2181,5.03,52,75,6.69,AR,1663391068
272,Hamilton,39.1834,-84.5333,20.47,87,0,1.54,US,1663391069
273,Half Moon Bay,37.4636,-122.4286,16.73,82,40,9.26,US,1663391069
274,Ulladulla,-35.35,150.4667,16.54,43,4,6.16,AU,1663390828
275,Spassk,52.747,87.7545,11.7,52,9,4.48,RU,1663391069
276,Westport,41.1415,-73.3579,19.3,74,40,2.57,US,1663391070
277,Ville-Marie,47.3335,-79.433,8.29,73,100,1.42,CA,1663391071
278,Cambridge,43.3601,-80.3127,16.24,93,83,3.38,CA,1663390903
279,Palasa,18.7667,84.4167,31.77,61,100,2.82,IN,1663391071
280,Palana,59.1167,159.9667,6.25,61,17,7.3,RU,1663391072
281,Beaverlodge,55.2166,-119.4361,7.64,93,100,4.47,CA,1663391073
282,Plettenberg Bay,-34.0527,23.3716,14.64,86,99,2.44,ZA,1663391073
283,Samarai,-10.6167,150.6667,28.71,74,62,5.74,PG,1663391073
284,Tura,25.5198,90.2201,28.78,73,45,2.24,IN,1663391073
285,Saldanha,-33.0117,17.9442,13.21,88,92,4.11,ZA,1663391074
286,Comarapa,-17.9,-64.4833,10.69,93,50,0.51,BO,1663391074
287,Pangai,-19.8,-174.35,25.41,79,50,1.63,TO,1663391074
288,Wanning,18.8003,110.3967,31.16,59,45,2.99,CN,1663391075
289,Sioux Lookout,50.1001,-91.917,10.04,100,100,2.57,CA,1663391075
290,Strugari,46.5333,26.7167,15.19,88,0,1.54,RO,1663391076
291,Glazov,58.1394,52.6584,11.23,75,59,4.17,RU,1663391077
292,Kotelnich,58.3089,48.348,10.5,86,100,4.85,RU,1663391077
293,Waipawa,-41.4122,175.5153,10.51,69,58,1.39,NZ,1663391077
294,Panjab,34.388,67.0233,13.01,15,0,2.27,AF,1663391078
295,Amapa,1.0,-52.0,20.91,100,30,0.46,BR,1663391078
296,Kaeo,-35.1,173.7833,14.85,62,66,2.38,NZ,1663391078
297,Bac Lieu,9.285,105.7244,30.6,65,38,6.37,VN,1663391056
298,Toshkivka,48.7791,38.579,15.88,79,68,2.24,UA,1663391079
299,Lakinsk,56.0193,39.9485,9.92,86,19,3.62,RU,1663391079
300,Yucca Valley,34.1142,-116.4322,24.29,34,0,3.58,US,1663391079
301,Galle,6.0367,80.217,27.97,72,89,5.49,LK,1663391079
302,Sagarejo,41.734,45.3315,18.24,44,1,0.99,GE,1663391080
303,San Juan Del Sur,11.2529,-85.8705,24.45,92,100,2.92,NI,1663391080
304,Pullman,46.7313,-117.1796,14.13,60,0,0.0,US,1663391080
305,Roma,43.2128,-75.4557,13.82,93,0,0.45,US,1663391080
306,Puerto Baquerizo Moreno,-0.9,-89.6,18.79,81,4,4.46,EC,1663391080
307,Blagoveshchenka,52.8333,79.8667,14.76,37,1,5.77,RU,1663391081
308,Qazvin,36.2797,50.0049,22.25,30,0,2.0,IR,1663391081
309,Hwange,-18.3693,26.5019,18.94,40,0,1.04,ZW,1663391081
310,Durres,41.3231,19.4414,23.1,89,82,5.24,AL,1663391081
311,Kaoma,-14.7833,24.8,17.03,49,6,2.99,ZM,1663391082
312,Yumen,40.2833,97.2,24.0,18,3,6.18,CN,1663391082
313,Lagarto,-10.9172,-37.65,18.38,94,0,0.62,BR,1663391082
314,Avera,33.194,-82.5271,19.73,70,0,2.74,US,1663391082
315,Neuquen,-38.9516,-68.0591,10.79,44,81,8.83,AR,1663390862
316,Bambous Virieux,-20.3428,57.7575,24.01,72,19,7.6,MU,1663391083
317,Upernavik,72.7868,-56.1549,0.72,81,9,7.22,GL,1663391083
318,Mogok,22.9167,96.5,22.54,92,55,0.93,MM,1663391083
319,Benghazi,32.1167,20.0667,24.51,54,0,2.94,LY,1663391084
320,Anori,-3.7728,-61.6442,25.69,68,77,1.08,BR,1663391084
321,Cabra,37.4725,-4.4421,19.96,60,0,0.74,ES,1663391084
322,Alice Springs,-23.7,133.8833,23.75,23,0,3.6,AU,1663390808
323,Victoria,22.2855,114.1577,34.98,61,5,3.58,HK,1663391006
324,Esperance,-33.8667,121.9,17.39,60,22,6.72,AU,1663391085
325,Tasiilaq,65.6145,-37.6368,4.09,97,100,4.97,GL,1663391085
326,Kenora,49.8167,-94.4337,12.1,100,100,5.81,CA,1663391085
327,Metlika,45.6472,15.3142,12.31,97,100,2.29,SI,1663391085
328,Whitehorse,60.7161,-135.0538,6.84,53,66,2.24,CA,1663391086
329,Nicoya,10.1483,-85.452,23.04,98,100,0.98,CR,1663391086
330,Kano,12.0001,8.5167,22.16,90,100,3.92,NG,1663391086
331,Yulara,-25.2406,130.9889,24.22,14,0,2.1,AU,1663391043
332,Port Hedland,-20.3167,118.5667,34.03,10,32,4.12,AU,1663390822
333,Domoni,-12.2569,44.5319,23.54,74,46,2.18,KM,1663391087
334,Batticaloa,7.7102,81.6924,29.37,64,35,2.19,LK,1663391087
335,Dinguiraye,11.3,-10.7167,20.79,95,100,1.16,GN,1663391087
336,Ixtapa,20.7,-105.2,25.13,94,100,0.0,MX,1663391088
337,El Dorado,38.7666,-120.5177,17.02,78,0,1.34,US,1663391088
338,Severo-Kurilsk,50.6789,156.125,11.38,73,34,7.6,RU,1663391088
339,Alanya,36.5438,31.9998,22.07,54,0,2.0,TR,1663391088
340,Coracora,-15.0333,-73.7833,5.94,47,6,1.28,PE,1663391089
341,Taltal,-25.4,-70.4833,12.09,81,23,1.1,CL,1663391089
342,Narsaq,60.9167,-46.05,15.12,75,100,5.79,GL,1663391089
343,Catanzaro,38.8908,16.5987,21.2,81,66,4.72,IT,1663391090
344,Nishihara,26.1842,127.7558,29.03,89,100,13.89,JP,1663390801
345,Buchanan,5.8808,-10.0467,24.24,89,100,3.74,LR,1663391090
346,Vila Velha,-20.3297,-40.2925,18.97,97,100,6.26,BR,1663391090
347,Acarau,-2.8856,-40.12,25.14,79,44,6.57,BR,1663391091
348,Odweyne,9.4092,45.064,22.73,60,100,8.87,SO,1663391092
349,Mildura,-34.2,142.15,15.6,82,75,8.75,AU,1663390800
350,San Luis,-33.295,-66.3356,18.0,26,100,6.39,AR,1663391045
351,Havelock,34.8791,-76.9013,21.64,90,0,1.98,US,1663391092
352,Tsogni,-2.7942,10.0988,22.56,89,97,1.2,GA,1663391092
353,Coquimbo,-29.9533,-71.3436,11.85,87,100,1.54,CL,1663391093
